timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673242103280,1903,search-0,301,Moved Permanently,rokomari 1-200,text,true,,1071,144,290,290,https://rokomari.com/search?term=humayun+ahmed+book,1903,0,1171
1673242105183,15186,search-1,200,OK,rokomari 1-200,text,true,,88697,148,290,290,https://www.rokomari.com/search?term=humayun+ahmed+book,1798,0,1120
1673242019520,101553,electronics,200,OK,rokomari 1-114,text,true,,459543,268,290,290,https://www.rokomari.com/electronics?ref=nm,1924,0,1311
1673242019520,1939,electronics-0,301,Moved Permanently,rokomari 1-114,text,true,,1053,132,290,290,https://rokomari.com/electronics?ref=nm,1924,0,1311
1673242021459,99614,electronics-1,200,OK,rokomari 1-114,text,true,,458490,136,290,290,https://www.rokomari.com/electronics?ref=nm,1770,0,1133
1673242107876,13228,gift-finder-browse,200,OK,rokomari 1-148,text,true,,115391,328,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1791,0,1100
1673242107876,1794,gift-finder-browse-0,301,Moved Permanently,rokomari 1-148,text,true,,1085,162,290,290,https://rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1791,0,1100
1673242109670,11434,gift-finder-browse-1,200,OK,rokomari 1-148,text,true,,114306,166,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1968,0,1280
1673242030410,91316,offer,200,OK,rokomari 1-143,text,true,,332234,242,290,290,https://www.rokomari.com/offer,2231,0,0
1673242030410,2231,offer-0,301,Moved Permanently,rokomari 1-143,text,true,,1044,119,290,290,https://rokomari.com/offer,2231,0,0
1673242032641,89085,offer-1,200,OK,rokomari 1-143,text,true,,331190,123,290,290,https://www.rokomari.com/offer,5097,0,0
1673242046817,74932,offer,200,OK,rokomari 1-124,text,true,,332217,242,290,290,https://www.rokomari.com/offer,649,0,0
1673242046817,649,offer-0,301,Moved Permanently,rokomari 1-124,text,true,,1050,119,290,290,https://rokomari.com/offer,649,0,0
1673242047466,74283,offer-1,200,OK,rokomari 1-124,text,true,,331167,123,290,290,https://www.rokomari.com/offer,1496,0,0
1673242101027,21071,search,200,OK,rokomari 1-182,text,true,,89762,292,290,290,https://www.rokomari.com/search?term=humayun+ahmed+book,1907,0,1310
1673242101027,1907,search-0,301,Moved Permanently,rokomari 1-182,text,true,,1069,144,290,290,https://rokomari.com/search?term=humayun+ahmed+book,1907,0,1310
1673242102933,19165,search-1,200,OK,rokomari 1-182,text,true,,88693,148,290,290,https://www.rokomari.com/search?term=humayun+ahmed+book,2767,0,1086
1673242071802,50806,gift-finder-browse,200,OK,rokomari 1-186,text,true,,115389,328,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1990,0,1229
1673242071802,1991,gift-finder-browse-0,301,Moved Permanently,rokomari 1-186,text,true,,1085,162,290,290,https://rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1990,0,1229
1673242073793,48815,gift-finder-browse-1,200,OK,rokomari 1-186,text,true,,114304,166,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1989,0,1320
1673242047963,75099,offer,200,OK,rokomari 1-2,text,true,,332215,242,290,290,https://www.rokomari.com/offer,848,0,0
1673242047963,849,offer-0,301,Moved Permanently,rokomari 1-2,text,true,,1040,119,290,290,https://rokomari.com/offer,848,0,0
1673242048812,74250,offer-1,200,OK,rokomari 1-2,text,true,,331175,123,290,290,https://www.rokomari.com/offer,7359,0,0
1673242098141,26253,gift-finder-browse,200,OK,rokomari 1-230,text,true,,115387,328,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,2286,0,1295
1673242098141,2286,gift-finder-browse-0,301,Moved Permanently,rokomari 1-230,text,true,,1083,162,290,290,https://rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,2286,0,1295
1673242100427,23967,gift-finder-browse-1,200,OK,rokomari 1-230,text,true,,114304,166,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,2027,0,1141
1673241802185,322449,electronics,200,OK,rokomari 1-8,text,true,,459529,268,290,290,https://www.rokomari.com/electronics?ref=nm,2813,0,2115
1673241802185,2813,electronics-0,301,Moved Permanently,rokomari 1-8,text,true,,1051,132,290,290,https://rokomari.com/electronics?ref=nm,2813,0,2115
1673241804998,319636,electronics-1,200,OK,rokomari 1-8,text,true,,458478,136,290,290,https://www.rokomari.com/electronics?ref=nm,1744,0,1117
1673242037946,87202,offer,200,OK,rokomari 1-149,text,true,,332214,242,290,290,https://www.rokomari.com/offer,1043,0,0
1673242037946,1043,offer-0,301,Moved Permanently,rokomari 1-149,text,true,,1042,119,290,290,https://rokomari.com/offer,1043,0,0
1673242038989,86159,offer-1,200,OK,rokomari 1-149,text,true,,331172,123,290,290,https://www.rokomari.com/offer,3979,0,2866
1673242090641,34851,gift-finder-browse,200,OK,rokomari 1-210,text,true,,115391,328,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1801,0,1191
1673242090641,1801,gift-finder-browse-0,301,Moved Permanently,rokomari 1-210,text,true,,1081,162,290,290,https://rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1801,0,1191
1673242092442,33050,gift-finder-browse-1,200,OK,rokomari 1-210,text,true,,114310,166,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1752,0,1072
1673242084499,41204,gift-finder-browse,200,OK,rokomari 1-298,text,true,,115385,328,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1952,0,1183
1673242084499,1952,gift-finder-browse-0,301,Moved Permanently,rokomari 1-298,text,true,,1083,162,290,290,https://rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1952,0,1183
1673242086452,39251,gift-finder-browse-1,200,OK,rokomari 1-298,text,true,,114302,166,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1843,0,0
1673242101522,24529,kids-toys,200,OK,rokomari 1-147,text,true,,260616,310,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,2019,0,1390
1673242101522,2019,kids-toys-0,301,Moved Permanently,rokomari 1-147,text,true,,1074,153,290,290,https://rokomari.com/product/category/2864/kids-toys-&-games,2019,0,1390
1673242103540,22511,kids-toys-1,200,OK,rokomari 1-147,text,true,,259542,157,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,1883,0,1248
1673242049389,77091,offer,200,OK,rokomari 1-68,text,true,,332231,242,290,290,https://www.rokomari.com/offer,722,0,0
1673242049389,722,offer-0,301,Moved Permanently,rokomari 1-68,text,true,,1044,119,290,290,https://rokomari.com/offer,722,0,0
1673242050111,76369,offer-1,200,OK,rokomari 1-68,text,true,,331187,123,290,290,https://www.rokomari.com/offer,646,0,0
1673241952108,174514,offer,200,OK,rokomari 1-89,text,true,,332216,242,290,290,https://www.rokomari.com/offer,2176,0,0
1673241952108,2176,offer-0,301,Moved Permanently,rokomari 1-89,text,true,,1042,119,290,290,https://rokomari.com/offer,2176,0,0
1673241954285,172337,offer-1,200,OK,rokomari 1-89,text,true,,331174,123,290,290,https://www.rokomari.com/offer,10375,0,0
1673242031938,94790,kids-toys,200,OK,rokomari 1-278,text,true,,260618,310,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,6130,0,2996
1673242031938,6130,kids-toys-0,301,Moved Permanently,rokomari 1-278,text,true,,1076,153,290,290,https://rokomari.com/product/category/2864/kids-toys-&-games,6130,0,2996
1673242038069,88659,kids-toys-1,200,OK,rokomari 1-278,text,true,,259542,157,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,4325,0,1890
1673241932416,194516,kids-toys,200,OK,rokomari 1-286,text,true,,260611,310,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,1718,0,1076
1673241932416,1718,kids-toys-0,301,Moved Permanently,rokomari 1-286,text,true,,1070,153,290,290,https://rokomari.com/product/category/2864/kids-toys-&-games,1718,0,1076
1673241934134,192798,kids-toys-1,200,OK,rokomari 1-286,text,true,,259541,157,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,1750,0,1116
1673242079723,47865,search,200,OK,rokomari 1-63,text,true,,89766,292,290,290,https://www.rokomari.com/search?term=humayun+ahmed+book,6797,0,1169
1673242079723,6798,search-0,301,Moved Permanently,rokomari 1-63,text,true,,1069,144,290,290,https://rokomari.com/search?term=humayun+ahmed+book,6797,0,1169
1673242086521,41067,search-1,200,OK,rokomari 1-63,text,true,,88697,148,290,290,https://www.rokomari.com/search?term=humayun+ahmed+book,3795,0,1217
1673241845201,282390,monihari,Non HTTP response code: org.apache.http.TruncatedChunkException,"Non HTTP response message: Truncated chunk (expected size: 32,768; actual size: 8,452)",rokomari 1-115,text,false,,2843,129,290,290,https://www.rokomari.com/monihari?ref=nm,3432,0,1131
1673241845201,3432,monihari-0,301,Moved Permanently,rokomari 1-115,text,true,,1050,129,290,290,https://rokomari.com/monihari?ref=nm,3432,0,1131
1673241848633,278958,monihari-1,Non HTTP response code: org.apache.http.TruncatedChunkException,"Non HTTP response message: Truncated chunk (expected size: 32,768; actual size: 8,452)",rokomari 1-115,text,false,,1793,0,290,290,https://www.rokomari.com/monihari?ref=nm,1708,0,1105
1673241910835,217047,monihari,200,OK,rokomari 1-136,text,true,,283977,262,290,290,https://www.rokomari.com/monihari?ref=nm,3617,0,1085
1673241910835,3617,monihari-0,301,Moved Permanently,rokomari 1-136,text,true,,1046,129,290,290,https://rokomari.com/monihari?ref=nm,3617,0,1085
1673241914452,213430,monihari-1,200,OK,rokomari 1-136,text,true,,282931,133,290,290,https://www.rokomari.com/monihari?ref=nm,1730,0,1096
1673242058502,69453,kids-toys,200,OK,rokomari 1-300,text,true,,260609,310,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,1807,0,1199
1673242058502,1808,kids-toys-0,301,Moved Permanently,rokomari 1-300,text,true,,1078,153,290,290,https://rokomari.com/product/category/2864/kids-toys-&-games,1807,0,1199
1673242060310,67645,kids-toys-1,200,OK,rokomari 1-300,text,true,,259531,157,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,1690,0,1065
1673242008548,119464,offer,200,OK,rokomari 1-22,text,true,,332207,242,290,290,https://www.rokomari.com/offer,1867,0,1134
1673242008548,1868,offer-0,301,Moved Permanently,rokomari 1-22,text,true,,1040,119,290,290,https://rokomari.com/offer,1867,0,1134
1673242010416,117596,offer-1,200,OK,rokomari 1-22,text,true,,331167,123,290,290,https://www.rokomari.com/offer,1756,0,1112
1673242067779,60396,kids-toys,200,OK,rokomari 1-138,text,true,,260606,310,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,1893,0,1208
1673242067779,1893,kids-toys-0,301,Moved Permanently,rokomari 1-138,text,true,,1072,153,290,290,https://rokomari.com/product/category/2864/kids-toys-&-games,1893,0,1208
1673242069672,58503,kids-toys-1,200,OK,rokomari 1-138,text,true,,259534,157,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,1779,0,1174
1673242051171,77018,offer,200,OK,rokomari 1-271,text,true,,332215,242,290,290,https://www.rokomari.com/offer,3412,0,1189
1673242051171,3412,offer-0,301,Moved Permanently,rokomari 1-271,text,true,,1050,119,290,290,https://rokomari.com/offer,3412,0,1189
1673242054584,73605,offer-1,200,OK,rokomari 1-271,text,true,,331165,123,290,290,https://www.rokomari.com/offer,2922,0,2263
1673242066513,62171,kids-toys,200,OK,rokomari 1-163,text,true,,260617,310,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,1990,0,1201
1673242066513,1990,kids-toys-0,301,Moved Permanently,rokomari 1-163,text,true,,1076,153,290,290,https://rokomari.com/product/category/2864/kids-toys-&-games,1990,0,1201
1673242068503,60181,kids-toys-1,200,OK,rokomari 1-163,text,true,,259541,157,290,290,https://www.rokomari.com/product/category/2864/kids-toys-&-games,3453,0,2014
1673242089024,39763,gift-finder-browse,200,OK,rokomari 1-218,text,true,,115383,328,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1750,0,1112
1673242089024,1750,gift-finder-browse-0,301,Moved Permanently,rokomari 1-218,text,true,,1081,162,290,290,https://rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1750,0,1112
1673242090774,38013,gift-finder-browse-1,200,OK,rokomari 1-218,text,true,,114302,166,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,1749,0,1111
1673242073903,55122,gift-finder-browse,200,OK,rokomari 1-233,text,true,,115385,328,290,290,https://www.rokomari.com/giftfinderbrowse/2144?categories=2144&whoms=2141,2842,0,2096
