timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673208281686,2069,login,200,OK,rokomari 1-12,text,true,,82852,242,100,100,https://www.rokomari.com/login,1049,0,877
1673208281686,1099,login-0,301,Moved Permanently,rokomari 1-12,text,true,,1040,119,100,100,https://rokomari.com/login,1049,0,877
1673208282787,968,login-1,200,OK,rokomari 1-12,text,true,,81812,123,100,100,https://www.rokomari.com/login,451,0,311
1673208281811,2041,login,200,OK,rokomari 1-33,text,true,,82858,242,100,100,https://www.rokomari.com/login,976,0,767
1673208281811,976,login-0,301,Moved Permanently,rokomari 1-33,text,true,,1040,119,100,100,https://rokomari.com/login,976,0,767
1673208282788,1064,login-1,200,OK,rokomari 1-33,text,true,,81818,123,100,100,https://www.rokomari.com/login,464,0,313
1673208282437,1880,login,200,OK,rokomari 1-87,text,true,,82864,242,100,100,https://www.rokomari.com/login,463,0,253
1673208282437,463,login-0,301,Moved Permanently,rokomari 1-87,text,true,,1044,119,100,100,https://rokomari.com/login,463,0,253
1673208282900,1417,login-1,200,OK,rokomari 1-87,text,true,,81820,123,100,100,https://www.rokomari.com/login,615,0,319
1673208282078,2612,login,200,OK,rokomari 1-60,text,true,,82860,242,100,100,https://www.rokomari.com/login,667,0,485
1673208282078,707,login-0,301,Moved Permanently,rokomari 1-60,text,true,,1044,119,100,100,https://rokomari.com/login,667,0,485
1673208282788,1902,login-1,200,OK,rokomari 1-60,text,true,,81816,123,100,100,https://www.rokomari.com/login,476,0,332
1673208282441,2510,login,200,OK,rokomari 1-91,text,true,,82868,242,100,100,https://www.rokomari.com/login,467,0,262
1673208282441,468,login-0,301,Moved Permanently,rokomari 1-91,text,true,,1046,119,100,100,https://rokomari.com/login,467,0,262
1673208282909,2042,login-1,200,OK,rokomari 1-91,text,true,,81822,123,100,100,https://www.rokomari.com/login,669,0,326
1673208282226,2751,login,200,OK,rokomari 1-75,text,true,,82863,242,100,100,https://www.rokomari.com/login,514,0,337
1673208282226,559,login-0,301,Moved Permanently,rokomari 1-75,text,true,,1040,119,100,100,https://rokomari.com/login,514,0,337
1673208282788,2189,login-1,200,OK,rokomari 1-75,text,true,,81823,123,100,100,https://www.rokomari.com/login,480,0,333
1673208282442,2688,login,200,OK,rokomari 1-95,text,true,,82864,242,100,100,https://www.rokomari.com/login,479,0,278
1673208282442,481,login-0,301,Moved Permanently,rokomari 1-95,text,true,,1040,119,100,100,https://rokomari.com/login,479,0,278
1673208282924,2206,login-1,200,OK,rokomari 1-95,text,true,,81824,123,100,100,https://www.rokomari.com/login,1252,0,333
1673208281779,3498,login,200,OK,rokomari 1-30,text,true,,82866,242,100,100,https://www.rokomari.com/login,999,0,795
1673208281779,1006,login-0,301,Moved Permanently,rokomari 1-30,text,true,,1042,119,100,100,https://rokomari.com/login,999,0,795
1673208282788,2489,login-1,200,OK,rokomari 1-30,text,true,,81824,123,100,100,https://www.rokomari.com/login,501,0,344
1673208282157,3249,login,200,OK,rokomari 1-68,text,true,,82852,242,100,100,https://www.rokomari.com/login,578,0,406
1673208282157,628,login-0,301,Moved Permanently,rokomari 1-68,text,true,,1038,119,100,100,https://rokomari.com/login,578,0,406
1673208282787,2619,login-1,200,OK,rokomari 1-68,text,true,,81814,123,100,100,https://www.rokomari.com/login,489,0,337
1673208282087,3439,login,200,OK,rokomari 1-61,text,true,,82858,242,100,100,https://www.rokomari.com/login,978,0,513
1673208282087,978,login-0,301,Moved Permanently,rokomari 1-61,text,true,,1044,119,100,100,https://rokomari.com/login,978,0,513
1673208283066,2460,login-1,200,OK,rokomari 1-61,text,true,,81814,123,100,100,https://www.rokomari.com/login,1025,0,542
1673208281688,3892,login,200,OK,rokomari 1-10,text,true,,82862,242,100,100,https://www.rokomari.com/login,1123,0,931
1673208281688,1124,login-0,301,Moved Permanently,rokomari 1-10,text,true,,1042,119,100,100,https://rokomari.com/login,1123,0,931
1673208282813,2767,login-1,200,OK,rokomari 1-10,text,true,,81820,123,100,100,https://www.rokomari.com/login,512,0,341
1673208282237,4263,login,200,OK,rokomari 1-76,text,true,,82856,242,100,100,https://www.rokomari.com/login,586,0,392
1673208282237,587,login-0,301,Moved Permanently,rokomari 1-76,text,true,,1036,119,100,100,https://rokomari.com/login,586,0,392
1673208282824,3676,login-1,200,OK,rokomari 1-76,text,true,,81820,123,100,100,https://www.rokomari.com/login,611,0,352
1673208281928,4751,login,200,OK,rokomari 1-45,text,true,,82860,242,100,100,https://www.rokomari.com/login,1271,0,668
1673208281928,1271,login-0,301,Moved Permanently,rokomari 1-45,text,true,,1044,119,100,100,https://rokomari.com/login,1271,0,668
1673208283200,3479,login-1,200,OK,rokomari 1-45,text,true,,81816,123,100,100,https://www.rokomari.com/login,1207,0,655
1673208282129,4897,login,200,OK,rokomari 1-64,text,true,,82856,242,100,100,https://www.rokomari.com/login,705,0,508
1673208282129,705,login-0,301,Moved Permanently,rokomari 1-64,text,true,,1040,119,100,100,https://rokomari.com/login,705,0,508
1673208282835,4191,login-1,200,OK,rokomari 1-64,text,true,,81816,123,100,100,https://www.rokomari.com/login,1271,0,787
1673208282439,5339,login,200,OK,rokomari 1-88,text,true,,82860,242,100,100,https://www.rokomari.com/login,461,0,260
1673208282439,462,login-0,301,Moved Permanently,rokomari 1-88,text,true,,1044,119,100,100,https://rokomari.com/login,461,0,260
1673208282902,4876,login-1,200,OK,rokomari 1-88,text,true,,81816,123,100,100,https://www.rokomari.com/login,653,0,324
1673208282477,5860,login,200,OK,rokomari 1-94,text,true,,82862,242,100,100,https://www.rokomari.com/login,578,0,413
1673208282477,579,login-0,301,Moved Permanently,rokomari 1-94,text,true,,1042,119,100,100,https://rokomari.com/login,578,0,413
1673208283056,5281,login-1,200,OK,rokomari 1-94,text,true,,81820,123,100,100,https://www.rokomari.com/login,868,0,460
1673208281718,6677,login,200,OK,rokomari 1-24,text,true,,82862,242,100,100,https://www.rokomari.com/login,1049,0,852
1673208281718,1067,login-0,301,Moved Permanently,rokomari 1-24,text,true,,1042,119,100,100,https://rokomari.com/login,1049,0,852
1673208282788,5607,login-1,200,OK,rokomari 1-24,text,true,,81820,123,100,100,https://www.rokomari.com/login,2668,0,2094
1673208282028,6417,login,200,OK,rokomari 1-55,text,true,,82856,242,100,100,https://www.rokomari.com/login,799,0,605
1673208282028,801,login-0,301,Moved Permanently,rokomari 1-55,text,true,,1048,119,100,100,https://rokomari.com/login,799,0,605
1673208282830,5615,login-1,200,OK,rokomari 1-55,text,true,,81808,123,100,100,https://www.rokomari.com/login,617,0,350
1673208281849,7087,login,200,OK,rokomari 1-37,text,true,,82862,242,100,100,https://www.rokomari.com/login,913,0,719
1673208281849,936,login-0,301,Moved Permanently,rokomari 1-37,text,true,,1044,119,100,100,https://rokomari.com/login,913,0,719
1673208282788,6148,login-1,200,OK,rokomari 1-37,text,true,,81818,123,100,100,https://www.rokomari.com/login,2696,0,2127
1673208282250,7043,login,200,OK,rokomari 1-77,text,true,,82858,242,100,100,https://www.rokomari.com/login,1949,0,1105
1673208282250,1949,login-0,301,Moved Permanently,rokomari 1-77,text,true,,1040,119,100,100,https://rokomari.com/login,1949,0,1105
1673208284200,5093,login-1,200,OK,rokomari 1-77,text,true,,81818,123,100,100,https://www.rokomari.com/login,1596,0,1025
1673208282477,7296,login,200,OK,rokomari 1-98,text,true,,82852,242,100,100,https://www.rokomari.com/login,563,0,388
1673208282477,563,login-0,301,Moved Permanently,rokomari 1-98,text,true,,1040,119,100,100,https://rokomari.com/login,563,0,388
1673208283040,6733,login-1,200,OK,rokomari 1-98,text,true,,81812,123,100,100,https://www.rokomari.com/login,823,0,444
1673208281688,8149,login,200,OK,rokomari 1-5,text,true,,82860,242,100,100,https://www.rokomari.com/login,2595,0,2013
1673208281688,2595,login-0,301,Moved Permanently,rokomari 1-5,text,true,,1044,119,100,100,https://rokomari.com/login,2595,0,2013
1673208284284,5553,login-1,200,OK,rokomari 1-5,text,true,,81816,123,100,100,https://www.rokomari.com/login,2125,0,1024
1673208281886,8098,login,200,OK,rokomari 1-41,text,true,,82854,242,100,100,https://www.rokomari.com/login,888,0,687
1673208281886,899,login-0,301,Moved Permanently,rokomari 1-41,text,true,,1036,119,100,100,https://rokomari.com/login,888,0,687
