timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673206580097,858,login,200,OK,rokomari 1-6,text,true,,82795,242,10,10,https://www.rokomari.com/login,363,0,250
1673206580097,373,login-0,301,Moved Permanently,rokomari 1-6,text,true,,1048,119,10,10,https://rokomari.com/login,363,0,250
1673206580474,481,login-1,200,OK,rokomari 1-6,text,true,,81747,123,10,10,https://www.rokomari.com/login,263,0,185
1673206580402,753,login,200,OK,rokomari 1-9,text,true,,82781,242,10,10,https://www.rokomari.com/login,204,0,126
1673206580402,204,login-0,301,Moved Permanently,rokomari 1-9,text,true,,1038,119,10,10,https://rokomari.com/login,204,0,126
1673206580607,548,login-1,200,OK,rokomari 1-9,text,true,,81743,123,10,10,https://www.rokomari.com/login,330,0,197
1673206579726,1478,login,200,OK,rokomari 1-1,text,true,,82779,242,10,10,https://www.rokomari.com/login,733,0,619
1673206579726,743,login-0,301,Moved Permanently,rokomari 1-1,text,true,,1040,119,10,10,https://rokomari.com/login,733,0,619
1673206580474,730,login-1,200,OK,rokomari 1-1,text,true,,81739,123,10,10,https://www.rokomari.com/login,257,0,181
1673206580199,1007,login,200,OK,rokomari 1-7,text,true,,82779,242,10,10,https://www.rokomari.com/login,261,0,148
1673206580199,271,login-0,301,Moved Permanently,rokomari 1-7,text,true,,1042,119,10,10,https://rokomari.com/login,261,0,148
1673206580473,733,login-1,200,OK,rokomari 1-7,text,true,,81737,123,10,10,https://www.rokomari.com/login,272,0,192
1673206580498,904,login,200,OK,rokomari 1-10,text,true,,82777,242,10,10,https://www.rokomari.com/login,217,0,149
1673206580498,218,login-0,301,Moved Permanently,rokomari 1-10,text,true,,1034,119,10,10,https://rokomari.com/login,217,0,149
1673206580717,685,login-1,200,OK,rokomari 1-10,text,true,,81743,123,10,10,https://www.rokomari.com/login,391,0,215
1673206579727,1684,login,200,OK,rokomari 1-2,text,true,,82773,242,10,10,https://www.rokomari.com/login,733,0,622
1673206579727,743,login-0,301,Moved Permanently,rokomari 1-2,text,true,,1034,119,10,10,https://rokomari.com/login,733,0,622
1673206580473,938,login-1,200,OK,rokomari 1-2,text,true,,81739,123,10,10,https://www.rokomari.com/login,317,0,210
1673206580302,1145,login,200,OK,rokomari 1-8,text,true,,82779,242,10,10,https://www.rokomari.com/login,219,0,144
1673206580302,220,login-0,301,Moved Permanently,rokomari 1-8,text,true,,1042,119,10,10,https://rokomari.com/login,219,0,144
1673206580522,925,login-1,200,OK,rokomari 1-8,text,true,,81737,123,10,10,https://www.rokomari.com/login,268,0,157
